date,nav,daily_return_pct,holdings,cash,total_trades,regime
2026-07-06,10000.0,0.0,0,10000.0,0,FULL
2026-07-07,10000.0,0.0,0,10000.0,0,FULL
2026-07-08,10000.0,0.0,5,2106.84,5,FULL
2026-07-09,9976.04,-0.2396,5,2106.84,5,FULL
2026-07-10,10005.96,0.2999,5,2106.84,5,FULL
2026-07-13,10007.4,0.0144,5,2106.84,5,FULL
2026-07-14,9998.18,-0.0921,5,2106.84,5,FULL
2026-07-15,10024.82,0.2664,5,2106.84,5,REDUCED
2026-07-16,9972.92,-0.5177,5,2106.84,5,FULL
2026-07-17,9740.22,-2.3333,5,2106.84,5,FULL
2026-07-20,9787.68,0.4873,5,2106.84,5,FULL
2026-07-21,9777.2,-0.1071,5,2106.84,5,FULL
2026-07-22,9796.1,0.1933,5,2106.84,5,FULL
2026-07-23,9762.38,-0.3442,5,2106.84,5,FULL
2026-07-24,9588.74,-1.7787,5,2106.84,5,FULL
2026-07-27,9626.56,0.3944,5,2106.84,5,FULL
2026-07-28,9672.78,0.4801,5,2106.84,5,FULL
2026-07-29,9672.78,0.0,5,2106.84,5,REDUCED
2026-07-30,9651.22,-0.2229,5,2106.84,5,FULL
2026-07-31,9594.72,-0.5854,5,2106.84,5,FULL
2026-08-03,9807.34,2.216,5,1516.24,11,FULL
2026-08-04,9807.34,0.0,5,1516.24,11,REDUCED
2026-08-05,9960.0,1.5566,5,1516.24,11,FULL
2026-08-06,9976.97,0.1704,5,1516.24,11,FULL
2026-08-07,9917.89,-0.5922,5,1516.24,11,FULL
